clustera,wt.1mm.fpkm,wt.2mm.fpkm,tip.IM/SPM.ear.fpkm,mid.SM.ear.fpkm,base.FM.ear.fpkm,stg1.tassel.fpkm,stg2.tassel.fpkm,stg3.tassel.fpkm
1,43.7556,48.4994,61.8627,43.9067,40.4492,35.5329,27.6239,37.803
1,12.127,11.2188,13.2334,11.0297,10.057,11.6633,5.7836,9.279
1,9.1966,8.0611,12.3282,4.9669,5.6194,8.5928,6.5258,5.6809
1,2.3642,3.5869,4.4774,2.1667,2.2905,1.7845,0.9148,1.6835
1,27.8737,30.0092,43.8756,21.1256,16.9901,12.2492,16.7588,17.4944
1,33.243,35.1066,49.6804,31.3707,17.4323,12.2227,8.6972,11.6432
1,8.839,6.5337,14.6496,3.5964,4.3621,8.2271,5.382,3.6704
1,1.7507,2.521,1.5821,0.6567,1.1873,1.4743,0.4677,0.8267
1,18.8844,22.82,19.9414,15.378,12.3847,7.1641,7.677,5.9461
1,69.8927,116.808,103.424,55.4127,62.4536,88.0561,68.2254,46.6407
1,429.7783,586.319,597.67,554.913,487.658,380.011,231.048,367.584
1,8.803,11.5859,9.7375,5.733,7.6594,3.0937,2.9852,4.7402
1,8.8955,7.1116,8.4809,4.1239,4.6968,3.6846,3.3174,3.9276
1,2.2528,1.4942,1.8996,1.4955,1.4649,0.6912,0.7189,0.7862
1,168.4847,226.5473,214.527,161.592,142.121,166.86,156.243,112.65
1,10.8148,10.3234,13.055,4.5976,4.8909,3.0587,4.6423,2.9827
1,1.0846,0.9289,1.5924,0.6467,1.0862,0.8839,0.5793,0.6605
1,129.745,111.8367,136.091,83.7311,75.179,46.365,26.6816,46.7769
1,1.1446,1.1408,0.9352,0.4519,0.3864,0.2109,0.1886,0.3627
1,4.0532,4.931,5.1315,4.824,3.7761,1.8663,1.4633,2.9877
1,515.943,699.7067,700.66,439.466,427.3,458.988,278.489,407.663
1,12.1585,12.5607,13.531,8.7808,10.9036,8.1645,4.7775,5.1225
1,0.7731,1.2273,1.3484,0.6063,0.0839,0.7469,0.5396,0.2281
1,65.3594,88.4766,132.024,55.1902,55.8941,67.3879,41.9205,50.0142
1,27.2332,33.0169,41.8459,26.4276,26.0163,33.1589,14.6336,35.1197
1,11.7825,17.7175,18.6511,14.7884,14.2936,10.7645,5.9688,12.2201
1,4.4723,2.4651,4.1377,2.2988,2.5438,2.2593,2.4064,2.5399
1,101.0317,127.4097,164.381,103.145,97.5898,109.208,75.1937,78.334
1,17.8551,22.2409,20.8576,16.1017,19.3732,12.3671,5.7935,10.761
1,4.5212,5.8805,6.2946,5.054,5.0038,1.9059,1.3725,3.4217
1,298.439,337.5643,294.896,126.877,133.122,217.911,187.544,178.008
1,191.2317,285.2597,264.748,264.352,205.035,288.673,214.708,157.594
1,8.7356,8.7854,11.1976,5.8609,4.8801,3.9408,2.2019,3.7343
